Date,Open_Interest,Prod_Merch_Long,Prod_Merch_Short,Swaps_Long,Swaps_Short,Mana_M_Long,Mana_M_Short
2010-01-05,2514518,313709,547218,222137,185204,205824,49246
2010-01-12,2587154,323915,557564,207040,195446,225305,49565
2010-01-19,2540116,327758,564680,202829,192486,220919,47602
2010-01-26,2585721,341496,561312,206169,180498,183447,57649
2010-02-02,2645582,347666,562044,225594,182387,175471,59208
2010-02-09,2642832,348190,555315,237545,169910,156879,73455
2010-02-16,2616426,351916,561795,237455,173914,171290,56203
2010-02-23,2517994,330002,540096,228059,185973,184589,55543
2010-03-02,2580257,349796,558005,221172,195131,195331,51854
2010-03-09,2649787,377115,588641,221052,212610,210831,50354
2010-03-16,2675782,390182,600396,208390,216034,222496,48955
2010-03-23,2582395,350292,565136,216643,209920,211309,52003
2010-03-30,2572830,352447,573882,218604,217419,219694,46357
2010-04-06,2719825,378156,592323,209811,229546,246458,54332
2010-04-13,2783222,433530,645595,204596,234740,234106,53051
2010-04-20,2724270,427430,654462,211205,221023,222976,49326
2010-04-27,2779554,447967,655674,211972,224694,207249,55843
2010-05-04,2865316,458087,657815,217928,231572,218833,59828
2010-05-11,2942038,449777,666195,237550,222420,204606,73750
2010-05-18,2693820,376560,575157,252530,211980,191381,102046
2010-05-25,2764954,376123,582890,262282,181495,178817,104581
2010-06-01,2785745,371358,576351,271714,175609,179252,110479
2010-06-08,2781085,355127,566383,269323,169260,178553,104143
2010-06-15,2743670,364728,574583,270080,170182,184544,86581
2010-06-22,2571859,349719,548165,263903,175667,179222,91646
